구분,경기장,종목,위치,위도,경도,전화번호,상세정보,데이터기준일자
게이트볼장,서귀포시전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 서홍로 40,33.2512325,126.55392,064-763-0700,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
체육관,서귀포국민 체육센터,수영. 헬스,제주특별자치도 서귀포시 중문관광로 346,33.2510475,126.4317627,064-739-0363,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
체육관,제주공천포전지훈련 센터다목적 체육관,핸드볼/농구/배구/배드민턴 경기장. 문화 및 집회시설,제주특별자치도 서귀포시 남원읍 신례로 96,33.2771177,126.6413556,064-760-3626,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
체육관,서귀포생활 체육문화 체육센터,체력단련,제주특별자치도 서귀포시 월드컵로 33(월드컵경기장 북서측),33.2461852,126.5093244,064-760-3633,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
체육관,대정문화 체육센터, - ,제주특별자치도 서귀포시 대정읍 암반수농로 419,33.2268151,126.2522254,064-760-3651,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
체육관,성산국민 체육센터,농구/배구/배드민턴 경기장. 문화 및 집회시설,제주특별자치도 서귀포시 성산읍 일주동로 4024,33.416346,126.889907,064-784-2274,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
체육관,효돈생활 체육관,농구/배구/배드민턴/핸드볼 경기장. 문화 및 집회시설,제주특별자치도 서귀포시 하신상로 25,33.2630291,126.6171579,064-760-3638,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
체육관,안덕생활 체육관,농구/배구/배드민턴 경기장. 문화 및 집회시설,제주특별자치도 서귀포시 안덕면 화순서서로 59,33.2558062,126.3283213,064-760-4315,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
체육관,동홍생활 체육관,농구/배구/배드민턴/핸드볼 경기장. 문화 및 집회시설,제주특별자치도 서귀포시 중앙로 140,33.2583114,126.563671,064-760-3638,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
체육관,올림픽기념 국민생활관,농구/배구/배드민턴 경기장. 문화 및 집회시설,제주특별자치도 서귀포시 중산간서로 97,33.2610161,126.4994677,064-760-3638,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
체육관,표선생활 체육관,농구/배구/배드민턴 경기장. 문화 및 집회시설,제주특별자치도 서귀포시 표선면 한마을초등로 399,33.3544886,126.8146643,064-760-3657,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
체육관,남원생활 체육관,농구/배구/배드민턴 경기장. 문화 및 집회시설,제주특별자치도 서귀포시 태위로 551-27,33.2779482,126.7044594,064-760-3652,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
축구장,일출고성 운동장,축구,제주특별자치도 서귀포시 고성리 1035,33.4445754,126.9095025,064-784-2274,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
축구장,표선인조 잔디축구장,축구,제주특별자치도 표선면 한마음초등로 399,33.3544886,126.8146643,064-760-3657,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
축구장,삼다체육 공원 축구장,축구,제주특별자치도 서귀포시 서호동 1602,33.2784399,126.5169922, - ,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
축구장,제주공천포 전지훈련 센터인조 구장,축구,제주특별자치도 서귀포시 신례로 96,33.2771177,126.6413556,064-760-3665,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
축구장,제주 유나이티드 전용구장,축구,제주특별자치도 서귀포시 강정동 3355-3,33.2615636,126.49447,064-738-0934,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
축구장,효돈축구 공원,축구,제주특별자치도 서귀포시 효돈순환로 311-29,33.2618011,126.6098859,064-733-4783,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
축구장,걸매 축구장,축구,제주특별자치도 서귀포시 서홍동 477-1,33.250513,126.5546121,064-760-3319,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
축구장,중문단지 축구장,축구,제주특별자치도 서귀포시 대포동 2499,33.2347653,126.4331858,064-738-3644,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
축구장,시민 축구장,축구,제주특별자치도 서귀포시 토평남로 47-13,33.2621182,126.5896799,064-733-9126,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
축구장,제주월드컵경기장,문화 및 집회시설,제주특별자치도 서귀포시 월드컵로 33,33.2472388,126.5092079,064-760-3623,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
야구장,서귀포생활 야구장,야구,제주특별자치도 서귀포시 강정동 1461,33.2602911,126.5018455,064-739-4782,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
야구장,제주공천포전지훈련 센터야구장,야구,제주특별자치도 서귀포시 남원읍 신례로 96,33.2771177,126.6413556,064-760-3665,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
야구장,서귀포야구장 (어린이),야구,제주특별자치도 서귀포시 중산간서로 95,33.2596431,126.501791,064-739-4782,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
야구장,서귀포야구장 (성인),야구,제주특별자치도 서귀포시 중산간서로 95,33.2596431,126.501791,064-739-4782,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
롤러스케이트장,서귀포 인라인 롤러장,롤러스케이트,제주특별자치도 서귀포시 중산간서로 95,33.2596431,126.501791,064-760-3626,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
궁도장,백록정,궁도,제주특별자치도 서귀포시 검은여로 2-72,33.2438338,126.5818598,064-760-3637,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
궁도장,산방정,궁도,제주특별자치도 서귀포시 안덕면 일주서로 1836,33.256807,126.321633,064-760-4315,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
궁도장,삼다정,궁도,제주특별자치도 서귀포시 남원읍 중산간동로 6575-17,33.3039456,126.6708275,064-760-3652,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
궁도장,서귀포 궁도장 (천지정),궁도,제주특별자치도 서귀포시 중산간서로 97-40,33.2592301,126.4980473,064-760-3637,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
테니스장,성산국민 체육센터 테니스장,테니스,제주특별자치도 서귀포시 성산읍 오조리 1365-1,33.4671995,126.9049515,064-784-2274,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
테니스장,표선생활 체육 테니스장,테니스,제주특별자치도 서귀포시 표선면 하천리 1832-1,33.3544886,126.8146643,064-760-3657,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
테니스장,제주공천포 전지훈련센터 테니스장,테니스,제주특별자치도 서귀포시 신례로 96,33.2771177,126.6413556,064-760-3665,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
테니스장,서귀포 테니스장,테니스,제주특별자치도 서귀포시 동홍로 99번길 36,33.2576567,126.5652227,064-763-2662,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
마라톤센터,동아마라톤 센터,선수숙소. 구내식당,제주특별자치도 서귀포시 중산간서로 95-1,33.2572294,126.5007386,064-760-3626,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
전천후실내육상연습장,전천후 실내육상 연습장,육상,제주특별자치도 서귀포시 중산간서로 95,33.2596431,126.501791,064-739-4781,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
실내암장,서귀포시 실내암장,실내암장,제주특별자치도 서귀포시 법환동 914,33.2472388,126.5092079,064-760-3638,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
파크골프장,월라봉 파크골프장,골프,제주특별자치도 서귀포시 신효동 1188-5,33.26653,126.6075443,064-760-4626,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
파크골프장,칠십리 파크골프장,골프,제주특별자치도 서귀포시 서홍동 576-9 칠십리공원 내 ,33.2470894,126.5532564,064-760-3637,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
파크골프장,강창학 파크골프장,골프,제주특별자치도 서귀포시 강정동 1353,33.2615636,126.49447,064-760-3637,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
종합경기장,표선생활 체육관 주경기장,다종목,제주특별자치도 서귀포시 표선면 한마음초등로 399,33.3544886,126.8146643,064-760-3657,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
종합경기장,안덕생활 체육관 주경기장,다종목,제주특별자치도 서귀포시 안덕면 화순문화로 22번길 15-1,33.2548335,126.3269212,064-760-4315,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
종합경기장,성산국민 체육센터 주경기장,다종목,제주특별자치도 서귀포시 성산읍 일주동로 4024,33.416346,126.889907,064-784-2274,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
종합경기장,대정문화 체육센터 주경기장,다종목,제주특별자치도 서귀포시 대정읍 암반수마농로 419,33.2633536,126.2351338,064-760-3651,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
종합경기장,남원생활 체육관 주경기장,다종목,제주특별자치도 서귀포시 남원읍 태위로 551-27,33.2779482,126.7044594,064-760-3652,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
종합경기장,제주공천포전지훈련 센터 주경기장,전지훈련장,제주특별자치도 서귀포시 신례로 96,33.2771177,126.6413556,064-760-3665,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
종합경기장,강창학 종합B구장,문화/집회시설 및 체육시설,제주특별자치도 서귀포시 중산간서로 95,33.2596431,126.501791,064-739-4781,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
종합경기장,강창학 종합A구장,문화/집회시설 및 체육시설,제주특별자치도 서귀포시 중산간서로 95,33.2596431,126.501791,064-739-4781,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
